Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
122,De'Andre Hunter,28,2TM,SF,45,25,26.1,4.6,11.1,.415,1.7,5.5,.305,3.0,5.7,.522,.490,2.8,3.2,.867,0.7,3.4,4.1,2.0,0.7,0.1,1.7,2.5,13.7,,huntede01
122,De'Andre Hunter,28,CLE,SF,43,23,26.2,4.7,11.2,.423,1.7,5.5,.308,3.0,5.7,.535,.499,2.8,3.2,.869,0.7,3.6,4.2,2.1,0.7,0.1,1.7,2.5,14.0,,huntede01
122,De'Andre Hunter,28,SAC,SF,2,2,25.5,2.0,9.5,.211,1.0,4.5,.222,1.0,5.0,.200,.263,2.5,3.0,.833,0.5,1.0,1.5,0.5,0.0,0.0,2.0,2.5,7.5,,huntede01
123,Bobby Portis,30,MIL,PF,67,9,24.2,5.5,11.2,.488,2.0,4.4,.456,3.4,6.8,.509,.578,0.7,1.0,.706,1.3,5.1,6.4,1.6,0.6,0.2,1.0,1.6,13.7,,portibo01
124,Cedric Coward,22,MEM,SG,62,47,25.8,4.9,10.5,.471,1.5,4.4,.338,3.4,6.0,.568,.542,2.3,2.7,.843,1.3,4.5,5.9,2.8,0.6,0.4,1.7,2.0,13.6,,cowarce01
125,Zach Edey,23,MEM,C,11,11,25.8,5.6,8.9,.633,0.1,0.5,.200,5.5,8.5,.656,.638,2.3,2.9,.781,3.9,7.2,11.1,1.1,0.6,1.9,2.4,3.4,13.6,,edeyza01
126,Ajay Mitchell,23,OKC,SG,57,16,25.8,5.0,10.4,.485,1.1,3.1,.347,3.9,7.3,.543,.536,2.5,2.8,.870,0.7,2.6,3.3,3.6,1.2,0.3,1.4,2.1,13.6,,mitchaj01
127,Naz Reid,26,MIN,C,77,3,26.1,5.2,11.3,.456,2.1,5.8,.362,3.1,5.5,.556,.549,1.2,1.6,.732,1.2,5.0,6.2,2.2,1.0,1.0,1.6,2.5,13.6,,reidna01
128,Jalen Suggs,24,ORL,PG,56,55,27.4,4.9,11.3,.434,2.1,6.2,.333,2.8,5.1,.554,.525,1.8,2.1,.855,0.6,3.2,3.8,5.5,1.9,0.7,2.6,2.6,13.6,,suggsja01
129,Cam Thomas,24,2TM,SG,42,8,21.0,4.5,11.0,.410,1.2,4.0,.310,3.3,7.0,.468,.466,3.3,4.0,.811,0.3,1.4,1.7,2.6,0.2,0.1,1.8,1.0,13.5,,thomaca02
129,Cam Thomas,24,BRK,SG,24,8,24.3,5.1,12.8,.399,1.6,4.9,.325,3.5,8.0,.445,.461,3.8,4.5,.843,0.4,1.4,1.8,3.1,0.2,0.1,2.0,1.3,15.6,,thomaca02
129,Cam Thomas,24,MIL,SG,18,0,16.6,3.7,8.5,.431,0.8,2.8,.275,2.9,5.7,.510,.477,2.6,3.4,.754,0.1,1.4,1.6,1.9,0.3,0.1,1.4,0.7,10.7,,thomaca02
130,John Collins,28,LAC,PF,68,55,27.2,5.2,9.5,.550,1.3,3.2,.410,3.9,6.3,.621,.619,1.7,2.2,.763,1.6,3.7,5.3,1.0,0.9,0.8,1.4,2.7,13.5,,collijo01
131,Tim Hardaway Jr.,33,DEN,SG,80,6,26.6,4.4,9.7,.447,2.8,6.9,.407,1.6,2.9,.541,.591,2.0,2.5,.811,0.2,2.4,2.6,1.4,0.5,0.1,0.5,1.3,13.5,,hardati02
132,Cormac Ryan,27,MIL,SG,10,1,23.2,4.5,8.2,.549,2.4,4.7,.511,2.1,3.5,.600,.695,2.1,2.3,.913,0.5,1.3,1.8,1.5,1.0,0.3,1.5,2.6,13.5,,ryanco01
133,Reed Sheppard,21,HOU,SG,81,20,26.2,4.9,11.5,.431,2.8,7.0,.395,2.2,4.5,.486,.551,0.8,1.0,.810,0.3,2.5,2.9,3.4,1.5,0.7,1.5,2.0,13.5,,sheppre01
134,Toumani Camara,25,POR,PF,81,81,33.3,4.8,10.8,.440,2.7,7.2,.370,2.1,3.6,.580,.563,1.2,1.7,.708,1.6,3.6,5.1,2.5,1.2,0.4,1.8,2.9,13.4,,camarto01
135,Jordan Poole,26,NOP,PG,39,8,23.9,4.2,11.4,.372,2.5,7.4,.333,1.8,4.0,.442,.480,2.5,2.9,.860,0.2,1.7,2.0,3.1,0.6,0.4,1.8,2.3,13.4,,poolejo01
136,Quentin Grimes,25,PHI,SG,74,19,29.4,4.5,10.0,.449,1.7,5.1,.329,2.8,5.0,.571,.532,2.7,3.2,.838,0.6,3.0,3.6,3.2,0.9,0.4,1.8,2.1,13.3,,grimequ01
137,Tobias Harris,33,DET,PF,62,62,27.8,4.8,10.4,.464,1.3,3.5,.356,3.6,6.9,.519,.524,2.2,2.5,.865,0.9,4.3,5.1,2.5,0.9,0.4,1.0,1.7,13.1,,harrito02
138,Keldon Johnson,26,SAS,SF,81,0,23.3,5.0,9.7,.520,1.2,3.3,.362,3.8,6.4,.602,.582,1.9,2.3,.798,1.7,3.7,5.4,1.4,0.6,0.1,0.9,2.0,13.1,,johnske04
139,Jaylon Tyson,23,CLE,SG,65,41,27.0,5.0,10.1,.495,2.0,4.5,.447,3.0,5.6,.534,.595,1.2,1.6,.738,1.8,3.3,5.1,2.2,0.8,0.4,1.5,2.5,13.1,,tysonja01
140,Kyle Kuzma,30,MIL,PF,69,43,26.2,4.9,10.0,.492,1.2,3.5,.347,3.7,6.5,.569,.552,2.0,2.7,.726,0.8,3.7,4.5,2.7,0.7,0.4,1.7,1.9,13.0,,kuzmaky01
141,Brandon Williams,26,DAL,PG,66,15,22.2,4.4,9.3,.472,0.5,2.3,.232,3.9,7.0,.552,.501,3.7,4.6,.793,0.5,2.4,2.9,3.9,0.9,0.3,1.9,1.6,13.0,,willibr03
142,Sam Merrill,29,CLE,SG,52,38,26.5,4.3,9.3,.461,3.0,7.2,.421,1.3,2.1,.596,.624,1.1,1.3,.855,0.5,2.0,2.6,2.4,0.6,0.1,0.8,2.4,12.8,,merrisa01
143,Collin Gillespie,26,PHO,PG,80,58,28.5,4.4,10.5,.418,2.9,7.2,.401,1.5,3.3,.455,.556,1.0,1.1,.874,1.1,3.0,4.1,4.6,1.2,0.2,1.6,1.6,12.7,,gilleco01
